task,mechanism,split,task_difficulty,hidden_stress,mechanism_aliasing,observation_sparsity,horizon_pressure,repair_cost_pressure,scenario_hardness
drawer_contact_repair,nominal,in_distribution,0.240000,0.040000,0.156000,0.090000,0.080000,0.060000,0.126080
drawer_contact_repair,nominal,hidden_mechanism,0.240000,0.040000,0.246000,0.310000,0.260000,0.240000,0.206280
drawer_contact_repair,nominal,long_horizon,0.240000,0.040000,0.228000,0.270000,0.640000,0.360000,0.241840
drawer_contact_repair,nominal,sparse_observation,0.240000,0.040000,0.270000,0.750000,0.400000,0.420000,0.305800
drawer_contact_repair,nominal,combined_stress,0.240000,0.040000,0.348000,0.790000,0.720000,0.680000,0.373840
drawer_contact_repair,friction_shift,in_distribution,0.240000,0.340000,0.336000,0.140000,0.080000,0.060000,0.238480
drawer_contact_repair,friction_shift,hidden_mechanism,0.240000,0.340000,0.426000,0.360000,0.260000,0.240000,0.318680
drawer_contact_repair,friction_shift,long_horizon,0.240000,0.340000,0.408000,0.320000,0.640000,0.360000,0.354240
drawer_contact_repair,friction_shift,sparse_observation,0.240000,0.340000,0.450000,0.800000,0.400000,0.420000,0.418200
drawer_contact_repair,friction_shift,combined_stress,0.240000,0.340000,0.528000,0.840000,0.720000,0.680000,0.486240
drawer_contact_repair,compliance_shift,in_distribution,0.240000,0.420000,0.416000,0.160000,0.080000,0.060000,0.275280
drawer_contact_repair,compliance_shift,hidden_mechanism,0.240000,0.420000,0.506000,0.380000,0.260000,0.240000,0.355480
drawer_contact_repair,compliance_shift,long_horizon,0.240000,0.420000,0.488000,0.340000,0.640000,0.360000,0.391040
drawer_contact_repair,compliance_shift,sparse_observation,0.240000,0.420000,0.530000,0.820000,0.400000,0.420000,0.455000
drawer_contact_repair,compliance_shift,combined_stress,0.240000,0.420000,0.608000,0.860000,0.720000,0.680000,0.523040
drawer_contact_repair,occlusion_persistence,in_distribution,0.240000,0.480000,0.536000,0.640000,0.080000,0.060000,0.388080
drawer_contact_repair,occlusion_persistence,hidden_mechanism,0.240000,0.480000,0.626000,0.860000,0.260000,0.240000,0.468280
drawer_contact_repair,occlusion_persistence,long_horizon,0.240000,0.480000,0.608000,0.820000,0.640000,0.360000,0.503840
drawer_contact_repair,occlusion_persistence,sparse_observation,0.240000,0.480000,0.650000,1.000000,0.400000,0.420000,0.519800
drawer_contact_repair,occlusion_persistence,combined_stress,0.240000,0.480000,0.728000,1.000000,0.720000,0.680000,0.581440
drawer_contact_repair,contact_mode_flip,in_distribution,0.240000,0.560000,0.656000,0.260000,0.080000,0.060000,0.368080
drawer_contact_repair,contact_mode_flip,hidden_mechanism,0.240000,0.560000,0.746000,0.480000,0.260000,0.240000,0.448280
drawer_contact_repair,contact_mode_flip,long_horizon,0.240000,0.560000,0.728000,0.440000,0.640000,0.360000,0.483840
drawer_contact_repair,contact_mode_flip,sparse_observation,0.240000,0.560000,0.770000,0.920000,0.400000,0.420000,0.547800
drawer_contact_repair,contact_mode_flip,combined_stress,0.240000,0.560000,0.848000,0.960000,0.720000,0.680000,0.615840
drawer_contact_repair,actuator_lag,in_distribution,0.240000,0.520000,0.476000,0.200000,0.080000,0.060000,0.316480
drawer_contact_repair,actuator_lag,hidden_mechanism,0.240000,0.520000,0.566000,0.420000,0.260000,0.240000,0.396680
drawer_contact_repair,actuator_lag,long_horizon,0.240000,0.520000,0.548000,0.380000,0.640000,0.360000,0.432240
drawer_contact_repair,actuator_lag,sparse_observation,0.240000,0.520000,0.590000,0.860000,0.400000,0.420000,0.496200
drawer_contact_repair,actuator_lag,combined_stress,0.240000,0.520000,0.668000,0.900000,0.720000,0.680000,0.564240
drawer_contact_repair,payload_shift,in_distribution,0.240000,0.620000,0.516000,0.180000,0.080000,0.060000,0.344480
drawer_contact_repair,payload_shift,hidden_mechanism,0.240000,0.620000,0.606000,0.400000,0.260000,0.240000,0.424680
drawer_contact_repair,payload_shift,long_horizon,0.240000,0.620000,0.588000,0.360000,0.640000,0.360000,0.460240
drawer_contact_repair,payload_shift,sparse_observation,0.240000,0.620000,0.630000,0.840000,0.400000,0.420000,0.524200
drawer_contact_repair,payload_shift,combined_stress,0.240000,0.620000,0.708000,0.880000,0.720000,0.680000,0.592240
drawer_contact_repair,combined_hidden_mechanisms,in_distribution,0.240000,0.880000,0.896000,0.580000,0.080000,0.060000,0.539280
drawer_contact_repair,combined_hidden_mechanisms,hidden_mechanism,0.240000,0.880000,0.986000,0.800000,0.260000,0.240000,0.619480
drawer_contact_repair,combined_hidden_mechanisms,long_horizon,0.240000,0.880000,0.968000,0.760000,0.640000,0.360000,0.655040
drawer_contact_repair,combined_hidden_mechanisms,sparse_observation,0.240000,0.880000,1.000000,1.000000,0.400000,0.420000,0.678800
drawer_contact_repair,combined_hidden_mechanisms,combined_stress,0.240000,0.880000,1.000000,1.000000,0.720000,0.680000,0.726400
deformable_bin_pick,nominal,in_distribution,0.340000,0.040000,0.220000,0.090000,0.080000,0.060000,0.163600
deformable_bin_pick,nominal,hidden_mechanism,0.340000,0.040000,0.310000,0.310000,0.260000,0.240000,0.243800
deformable_bin_pick,nominal,long_horizon,0.340000,0.040000,0.292000,0.270000,0.640000,0.360000,0.279360
deformable_bin_pick,nominal,sparse_observation,0.340000,0.040000,0.334000,0.750000,0.400000,0.420000,0.343320
deformable_bin_pick,nominal,combined_stress,0.340000,0.040000,0.412000,0.790000,0.720000,0.680000,0.411360
deformable_bin_pick,friction_shift,in_distribution,0.340000,0.340000,0.400000,0.140000,0.080000,0.060000,0.276000
deformable_bin_pick,friction_shift,hidden_mechanism,0.340000,0.340000,0.490000,0.360000,0.260000,0.240000,0.356200
deformable_bin_pick,friction_shift,long_horizon,0.340000,0.340000,0.472000,0.320000,0.640000,0.360000,0.391760
deformable_bin_pick,friction_shift,sparse_observation,0.340000,0.340000,0.514000,0.800000,0.400000,0.420000,0.455720
deformable_bin_pick,friction_shift,combined_stress,0.340000,0.340000,0.592000,0.840000,0.720000,0.680000,0.523760
deformable_bin_pick,compliance_shift,in_distribution,0.340000,0.420000,0.480000,0.160000,0.080000,0.060000,0.312800
deformable_bin_pick,compliance_shift,hidden_mechanism,0.340000,0.420000,0.570000,0.380000,0.260000,0.240000,0.393000
deformable_bin_pick,compliance_shift,long_horizon,0.340000,0.420000,0.552000,0.340000,0.640000,0.360000,0.428560
deformable_bin_pick,compliance_shift,sparse_observation,0.340000,0.420000,0.594000,0.820000,0.400000,0.420000,0.492520
deformable_bin_pick,compliance_shift,combined_stress,0.340000,0.420000,0.672000,0.860000,0.720000,0.680000,0.560560
