method,task,regime,split,seed,episodes,success_rate,mechanism_f1,invalid_repair_rate,repeat_failure_rate,damage_rate,diagnostic_probe_cost,calibration_error
observed_only_planner,drawer_contact_repair,nominal,in_distribution,0,72,0.625000,0.285098,0.295232,0.266869,0.103164,0.056623,0.118208
observed_only_planner,drawer_contact_repair,nominal,in_distribution,1,72,0.666667,0.290528,0.282771,0.268873,0.107377,0.058726,0.111022
observed_only_planner,drawer_contact_repair,nominal,in_distribution,2,72,0.569444,0.278333,0.286797,0.275942,0.103248,0.056140,0.114920
observed_only_planner,drawer_contact_repair,nominal,in_distribution,3,72,0.583333,0.283039,0.281201,0.257735,0.097960,0.055694,0.111441
observed_only_planner,drawer_contact_repair,nominal,in_distribution,4,72,0.430556,0.278725,0.292002,0.272567,0.099684,0.054997,0.117475
observed_only_planner,drawer_contact_repair,nominal,in_distribution,5,72,0.625000,0.266703,0.283659,0.262672,0.099397,0.057252,0.112759
observed_only_planner,drawer_contact_repair,nominal,in_distribution,6,72,0.625000,0.292607,0.288073,0.266271,0.102493,0.059139,0.113442
observed_only_planner,drawer_contact_repair,nominal,hidden_mechanism,0,72,0.638889,0.235987,0.313897,0.287803,0.106726,0.062562,0.126072
observed_only_planner,drawer_contact_repair,nominal,hidden_mechanism,1,72,0.611111,0.259979,0.316525,0.295001,0.109594,0.064567,0.124857
observed_only_planner,drawer_contact_repair,nominal,hidden_mechanism,2,72,0.472222,0.246087,0.312807,0.289935,0.105109,0.062597,0.123606
observed_only_planner,drawer_contact_repair,nominal,hidden_mechanism,3,72,0.541667,0.258471,0.309282,0.287578,0.109329,0.058604,0.116439
observed_only_planner,drawer_contact_repair,nominal,hidden_mechanism,4,72,0.458333,0.257532,0.307991,0.287479,0.105784,0.059640,0.120667
observed_only_planner,drawer_contact_repair,nominal,hidden_mechanism,5,72,0.597222,0.250024,0.307309,0.288052,0.108669,0.059349,0.126113
observed_only_planner,drawer_contact_repair,nominal,hidden_mechanism,6,72,0.569444,0.243679,0.314950,0.287860,0.104803,0.054127,0.119077
observed_only_planner,drawer_contact_repair,nominal,long_horizon,0,72,0.430556,0.248182,0.311598,0.282653,0.106366,0.061776,0.115650
observed_only_planner,drawer_contact_repair,nominal,long_horizon,1,72,0.458333,0.263370,0.305582,0.289032,0.103137,0.061322,0.115292
observed_only_planner,drawer_contact_repair,nominal,long_horizon,2,72,0.569444,0.267371,0.308502,0.274586,0.104288,0.059907,0.110826
