case_id,failure_case,description,reviewer_attack,v5_response,remaining_blocker
F01,irreversible_gripper_damage,Boundary case for failed-rollout world-model audits: irreversible_gripper_damage.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,the audit should abstain and request inspection,cannot repair missing actuation authority
F02,instruction_goal_ambiguity,Boundary case for failed-rollout world-model audits: instruction_goal_ambiguity.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,physical audit must not pretend to solve semantics,requires language clarification or goal relabeling
F03,adversarial_sensor_dropout,Boundary case for failed-rollout world-model audits: adversarial_sensor_dropout.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,audit should become conservative under missing observations,sensor-health modeling is outside the current method
F04,novel_fluid_contact,Boundary case for failed-rollout world-model audits: novel_fluid_contact.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,taxonomy should flag out-of-distribution mechanism,taxonomy coverage is the bottleneck
F05,two_mechanism_failure_aliasing,Boundary case for failed-rollout world-model audits: two_mechanism_failure_aliasing.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,keep multiple hypotheses active,single-cause repair can be wrong under aliasing
F06,repair_memory_poisoning,Boundary case for failed-rollout world-model audits: repair_memory_poisoning.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,discard stale repair memories after regime shift,freshness checks are necessary
F07,probe_budget_exhaustion,Boundary case for failed-rollout world-model audits: probe_budget_exhaustion.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,prioritize probes by information value,diagnostic probes remain scarce
F08,oracle_gap_compound_hidden_mechanisms,Boundary case for failed-rollout world-model audits: oracle_gap_compound_hidden_mechanisms.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,report remaining gap to privileged audit,local method is useful but not saturated
F09,false_friction_diagnosis_under_payload,Boundary case for failed-rollout world-model audits: false_friction_diagnosis_under_payload.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,avoid repairing friction when payload is causal,counterfactual replay can still be confounded
F10,actuator_lag_hidden_by_occlusion,Boundary case for failed-rollout world-model audits: actuator_lag_hidden_by_occlusion.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,probe before repair,visual occlusion can hide timing failures
F11,contact_mode_flip_after_success,Boundary case for failed-rollout world-model audits: contact_mode_flip_after_success.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,do not stop auditing after one success,post-success mode flips need continued monitoring
F12,cheap_probe_false_security,Boundary case for failed-rollout world-model audits: cheap_probe_false_security.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,reject probes that do not disambiguate,probe value must be mechanism-specific
F13,high_cost_repair_overuse,Boundary case for failed-rollout world-model audits: high_cost_repair_overuse.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,prefer abstention to unsafe repair,utility must penalize costly wrong repairs
F14,latent_mpc_overconfidence,Boundary case for failed-rollout world-model audits: latent_mpc_overconfidence.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,calibration gate should catch low-variance hallucinations,latent rollouts can be confidently wrong
F15,conformal_set_too_large,Boundary case for failed-rollout world-model audits: conformal_set_too_large.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,large uncertainty sets should trigger targeted probes,risk filtering alone may be non-actionable
F16,active_probe_damage,Boundary case for failed-rollout world-model audits: active_probe_damage.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,probing can be harmful in fragile contacts,probe cost is not cosmetic
F17,mechanism_taxonomy_miss,Boundary case for failed-rollout world-model audits: mechanism_taxonomy_miss.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,flag unknown rather than force nearest label,closed taxonomies are brittle
F18,long_horizon_memory_decay,Boundary case for failed-rollout world-model audits: long_horizon_memory_decay.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,refresh repair memory over long episodes,old repairs can expire
F19,training_distribution_shortcut,Boundary case for failed-rollout world-model audits: training_distribution_shortcut.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,detect spurious visual cues,causal confounding can survive local tests
F20,calibration_split_shift,Boundary case for failed-rollout world-model audits: calibration_split_shift.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,recalibrate before deployment,local calibration may not transfer
F21,real_robot_tactile_latency,Boundary case for failed-rollout world-model audits: real_robot_tactile_latency.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,include latency in external validation,local rollouts do not model all hardware delay
F22,simulator_contact_artifact,Boundary case for failed-rollout world-model audits: simulator_contact_artifact.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,replicate in accepted high-fidelity simulator,contact physics can be simulator-specific
F23,baseline_interface_mismatch,Boundary case for failed-rollout world-model audits: baseline_interface_mismatch.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,use identical observations and action spaces,unfair wrappers can fake gains
F24,human_repair_intervention_needed,Boundary case for failed-rollout world-model audits: human_repair_intervention_needed.,A hostile reviewer can use this case to test whether the paper overclaims local synthetic evidence.,escalate to human when audit confidence is low,autonomous repair is not always appropriate
