stress_level,method,seed,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
0.000000,active_probe_planner,0,0.593750,0.526301,0.201404,0.194491,0.084044,0.310050,0.078889,0.115180,0.161789,0.188129,0.170328,0.085255,0.049188,0.003336,0.001624,0.001332,0.000488,0.000854,0.000495,0.000822,0.000926,0.001114,0.001029,0.049704,384
0.000000,active_probe_planner,1,0.614583,0.527236,0.202005,0.195119,0.083875,0.310188,0.079276,0.114740,0.161343,0.187819,0.169764,0.105665,0.048743,0.003287,0.001651,0.001293,0.000498,0.000872,0.000479,0.000817,0.000914,0.001076,0.001001,0.049338,384
0.000000,active_probe_planner,2,0.606771,0.527537,0.201716,0.194719,0.083735,0.310233,0.079062,0.115145,0.161497,0.187822,0.169753,0.098601,0.048921,0.003363,0.001615,0.001279,0.000506,0.000867,0.000460,0.000838,0.000891,0.001087,0.000985,0.049512,384
0.000000,active_probe_planner,3,0.645833,0.527026,0.201508,0.194618,0.083809,0.310089,0.079074,0.114932,0.161791,0.188126,0.170009,0.137574,0.047898,0.003373,0.001610,0.001298,0.000520,0.000893,0.000486,0.000888,0.000919,0.001089,0.001030,0.048087,384
0.000000,active_probe_planner,4,0.627604,0.527614,0.201639,0.194754,0.083606,0.309663,0.079071,0.114465,0.161683,0.188119,0.170164,0.119824,0.048417,0.003370,0.001595,0.001294,0.000489,0.000852,0.000479,0.000838,0.000925,0.001116,0.001038,0.049161,384
0.000000,active_probe_planner,5,0.575521,0.527144,0.202473,0.194510,0.084116,0.310152,0.079324,0.115106,0.161831,0.188382,0.170545,0.065962,0.049501,0.003290,0.001630,0.001281,0.000518,0.000897,0.000487,0.000846,0.000891,0.001039,0.000994,0.050223,384
0.000000,active_probe_planner,6,0.591146,0.526759,0.201948,0.194773,0.083593,0.310187,0.078891,0.114891,0.161390,0.187743,0.169717,0.082831,0.049237,0.003338,0.001554,0.001293,0.000505,0.000876,0.000482,0.000862,0.000904,0.001080,0.000992,0.049803,384
0.000000,active_probe_planner,7,0.593750,0.527520,0.202087,0.194952,0.083743,0.310002,0.079287,0.115244,0.161240,0.187578,0.169637,0.085135,0.049188,0.003330,0.001634,0.001332,0.000510,0.000898,0.000488,0.000836,0.000910,0.001052,0.001009,0.050051,384
0.000000,active_probe_planner,8,0.559896,0.527533,0.201431,0.194889,0.084019,0.310256,0.079109,0.114970,0.161249,0.187744,0.169559,0.051717,0.049715,0.003360,0.001600,0.001330,0.000500,0.000870,0.000471,0.000873,0.000918,0.001070,0.001001,0.050315,384
0.000000,active_probe_planner,9,0.606771,0.527190,0.201952,0.195020,0.083671,0.309916,0.079253,0.115116,0.161503,0.187889,0.169709,0.098093,0.048921,0.003363,0.001596,0.001282,0.000524,0.000874,0.000491,0.000840,0.000920,0.001088,0.001032,0.049375,384
