ablation,interpretation,task,mechanism,seed,episode,success,mechanism_f1,invalid_repair_rate,repeat_failure_rate,damage_rate,diagnostic_probe_cost,calibration_error,abstention_rate,budget_violation_rate,predicted_breach_risk,realized_breach_risk,repair_utility
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,0,1,0.748688,0.074301,0.084569,0.041848,0.188718,0.045826,0.128719,0.038563,0.078981,0.030904,0.944506
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,1,1,0.736172,0.083130,0.082155,0.047613,0.180262,0.039493,0.124613,0.038441,0.076336,0.032188,0.934815
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,2,1,0.750869,0.079870,0.080019,0.044846,0.189714,0.042390,0.129396,0.043557,0.083256,0.039374,0.938751
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,3,0,0.751273,0.072927,0.079000,0.044141,0.190073,0.038836,0.130662,0.035089,0.076217,0.031504,-0.046211
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,4,1,0.740619,0.079839,0.076926,0.045714,0.187541,0.042537,0.124868,0.048817,0.083157,0.041315,0.934907
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,5,1,0.744429,0.074578,0.075432,0.051740,0.189517,0.035816,0.129109,0.044125,0.076986,0.036562,0.941073
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,6,1,0.742472,0.082594,0.078825,0.045585,0.183242,0.044782,0.125191,0.041503,0.084241,0.030869,0.936352
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,0,7,1,0.738947,0.076194,0.069086,0.046706,0.187889,0.041086,0.124536,0.041537,0.080165,0.031572,0.948171
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,1,0,1,0.741110,0.075197,0.072745,0.051684,0.186267,0.041253,0.121583,0.046731,0.086187,0.036983,0.939406
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,1,1,1,0.729396,0.083523,0.075980,0.046536,0.191186,0.042991,0.126892,0.043113,0.083783,0.035079,0.929485
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,1,2,1,0.736395,0.075379,0.073550,0.049432,0.189397,0.040037,0.125806,0.038326,0.080532,0.030298,0.943623
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,1,3,1,0.721622,0.080134,0.071410,0.045343,0.185120,0.032312,0.123666,0.036630,0.078817,0.033520,0.947157
full_counterfactual_mechanism_audit,all v5 components,drawer_contact_repair,nominal,1,4,1,0.737160,0.083272,0.082070,0.047222,0.180183,0.047383,0.120615,0.043125,0.084709,0.028935,0.929062
