method,task,mechanism,split,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
active_probe_planner,cluttered_navigation_grasp,friction_shift,sparse_observation,0.650000,0.550676,0.179953,0.171700,0.075195,0.303111,0.073468,0.105031,0.147357,0.171443,0.154564,0.212871,0.105180,0.002233,0.001062,0.001053,0.000641,0.000891,0.000692,0.000956,0.000932,0.001148,0.001148,0.104797,80
active_probe_planner,cluttered_navigation_grasp,nominal,combined_stress,0.675000,0.584659,0.173442,0.174014,0.075243,0.296517,0.071988,0.101807,0.145332,0.168944,0.152880,0.258279,0.103285,0.001960,0.001150,0.001149,0.000696,0.000823,0.000643,0.000824,0.000932,0.001096,0.001130,0.103715,80
active_probe_planner,cluttered_navigation_grasp,nominal,hidden_mechanism,0.700000,0.609545,0.150384,0.146997,0.064416,0.286078,0.061215,0.080409,0.126038,0.143102,0.131967,0.370973,0.101054,0.001979,0.001086,0.001071,0.000565,0.000934,0.000651,0.000797,0.000835,0.001001,0.000975,0.100677,80
active_probe_planner,cluttered_navigation_grasp,nominal,in_distribution,0.712500,0.621844,0.136814,0.134490,0.059070,0.281403,0.055521,0.070538,0.117875,0.131446,0.122435,0.427182,0.099805,0.002013,0.001155,0.000998,0.000663,0.000734,0.000672,0.000977,0.000809,0.001087,0.001051,0.099841,80
active_probe_planner,cluttered_navigation_grasp,nominal,long_horizon,0.850000,0.613635,0.153992,0.159711,0.067445,0.285850,0.061380,0.082406,0.131389,0.147798,0.136907,0.502101,0.078740,0.002134,0.001076,0.000988,0.000648,0.000895,0.000695,0.000803,0.000748,0.000943,0.001010,0.078610,80
active_probe_planner,cluttered_navigation_grasp,nominal,sparse_observation,0.725000,0.591033,0.159744,0.158446,0.069429,0.293207,0.069662,0.095977,0.135188,0.158462,0.142171,0.351203,0.098464,0.002321,0.001086,0.001188,0.000565,0.000914,0.000622,0.000891,0.000768,0.000915,0.001051,0.098553,80
active_probe_planner,cluttered_navigation_grasp,occlusion_persistence,combined_stress,0.600000,0.519048,0.207133,0.200065,0.084435,0.313184,0.081623,0.118959,0.163678,0.191683,0.172592,0.074629,0.108031,0.002009,0.001125,0.001215,0.000570,0.000916,0.000610,0.000833,0.000831,0.001077,0.001114,0.108237,80
active_probe_planner,cluttered_navigation_grasp,occlusion_persistence,hidden_mechanism,0.600000,0.525449,0.186654,0.176246,0.074754,0.309135,0.076241,0.109695,0.148802,0.174018,0.155985,0.139884,0.108031,0.002395,0.001157,0.001008,0.000556,0.000836,0.000643,0.000768,0.000848,0.001054,0.001101,0.107873,80
active_probe_planner,cluttered_navigation_grasp,occlusion_persistence,in_distribution,0.675000,0.539353,0.175218,0.164529,0.069248,0.304172,0.070844,0.099618,0.139823,0.161723,0.146309,0.257219,0.103285,0.002285,0.000963,0.001289,0.000621,0.000841,0.000625,0.000746,0.000868,0.001103,0.001048,0.103275,80
active_probe_planner,cluttered_navigation_grasp,occlusion_persistence,long_horizon,0.525000,0.527788,0.192349,0.189089,0.077602,0.308553,0.076622,0.111456,0.152813,0.178688,0.160503,0.044482,0.110121,0.002082,0.001118,0.001120,0.000644,0.000867,0.000674,0.000907,0.000904,0.001035,0.001119,0.110304,80
active_probe_planner,cluttered_navigation_grasp,occlusion_persistence,sparse_observation,0.637500,0.518077,0.195743,0.183828,0.078776,0.312094,0.078956,0.115132,0.154654,0.181817,0.162985,0.149194,0.106008,0.002326,0.001128,0.001090,0.000688,0.000899,0.000627,0.000969,0.000882,0.001015,0.001184,0.105782,80
active_probe_planner,cluttered_navigation_grasp,payload_shift,combined_stress,0.600000,0.511133,0.208933,0.200664,0.086400,0.313118,0.079667,0.118501,0.166690,0.192962,0.174864,0.066992,0.108031,0.002082,0.001081,0.001167,0.000576,0.000935,0.000577,0.000961,0.000901,0.001213,0.001141,0.108163,80
active_probe_planner,cluttered_navigation_grasp,payload_shift,hidden_mechanism,0.662500,0.537933,0.188027,0.174549,0.077399,0.304308,0.069444,0.097227,0.150188,0.169917,0.157100,0.210637,0.104273,0.002300,0.001139,0.001068,0.000689,0.000900,0.000701,0.000884,0.000870,0.001113,0.001071,0.104487,80
active_probe_planner,cluttered_navigation_grasp,payload_shift,in_distribution,0.600000,0.551026,0.175495,0.162026,0.072738,0.298448,0.063407,0.087984,0.141853,0.157825,0.147765,0.190982,0.108031,0.002142,0.001027,0.001163,0.000675,0.000951,0.000592,0.000732,0.000894,0.001175,0.001049,0.107978,80
active_probe_planner,cluttered_navigation_grasp,payload_shift,long_horizon,0.625000,0.540127,0.193842,0.187332,0.080337,0.303457,0.070880,0.099003,0.155432,0.174205,0.162517,0.151247,0.106757,0.002074,0.001116,0.001152,0.000725,0.000896,0.000685,0.000791,0.000902,0.001174,0.001098,0.106662,80
active_probe_planner,cluttered_navigation_grasp,payload_shift,sparse_observation,0.562500,0.515042,0.199440,0.186294,0.081885,0.311598,0.077741,0.113584,0.159062,0.184370,0.167322,0.062864,0.109394,0.002103,0.001066,0.001054,0.000576,0.000846,0.000561,0.000963,0.000787,0.001169,0.000973,0.109515,80
active_probe_planner,deformable_bin_pick,actuator_lag,combined_stress,0.500000,0.524055,0.202827,0.195292,0.085231,0.310609,0.078694,0.116137,0.164442,0.190957,0.173117,-0.014390,0.110259,0.002170,0.001127,0.000955,0.000648,0.000853,0.000691,0.000801,0.001023,0.001171,0.001098,0.109999,80
active_probe_planner,deformable_bin_pick,actuator_lag,hidden_mechanism,0.575000,0.552225,0.181242,0.168951,0.075344,0.301514,0.068288,0.094865,0.147016,0.166308,0.153367,0.144728,0.109011,0.002131,0.001014,0.000869,0.000661,0.000834,0.000657,0.000782,0.000931,0.000989,0.001155,0.108987,80
active_probe_planner,deformable_bin_pick,actuator_lag,in_distribution,0.700000,0.561419,0.170338,0.158412,0.070789,0.295925,0.062418,0.085824,0.138073,0.153867,0.143679,0.308267,0.101054,0.002444,0.001007,0.001195,0.000617,0.000792,0.000736,0.000861,0.000854,0.001040,0.001147,0.101103,80
active_probe_planner,deformable_bin_pick,actuator_lag,long_horizon,0.637500,0.551710,0.187329,0.182649,0.078459,0.300577,0.068634,0.098313,0.152698,0.171846,0.159172,0.183265,0.106008,0.002226,0.001240,0.001241,0.000633,0.000879,0.000613,0.000852,0.000842,0.001067,0.000986,0.106230,80
active_probe_planner,deformable_bin_pick,actuator_lag,sparse_observation,0.625000,0.530444,0.193423,0.181161,0.080425,0.309741,0.076570,0.110708,0.156986,0.182027,0.165124,0.144768,0.106757,0.002124,0.001140,0.001219,0.000746,0.000787,0.000587,0.000864,0.000856,0.001005,0.001117,0.107214,80
active_probe_planner,deformable_bin_pick,combined_hidden_mechanisms,combined_stress,0.537500,0.470409,0.226431,0.214904,0.089623,0.323185,0.085473,0.127688,0.173238,0.202195,0.182229,-0.052129,0.109948,0.002233,0.001015,0.001095,0.000727,0.000807,0.000765,0.000917,0.000760,0.000989,0.000984,0.109947,80
active_probe_planner,deformable_bin_pick,combined_hidden_mechanisms,hidden_mechanism,0.500000,0.480148,0.220211,0.197459,0.086567,0.321158,0.079992,0.118463,0.167095,0.193387,0.175571,-0.054435,0.110259,0.002212,0.000959,0.001295,0.000692,0.000866,0.000689,0.000848,0.000821,0.001133,0.001029,0.110783,80
active_probe_planner,deformable_bin_pick,combined_hidden_mechanisms,in_distribution,0.537500,0.491627,0.207294,0.184817,0.081440,0.315088,0.074468,0.107945,0.159337,0.181816,0.167444,0.025970,0.109948,0.001913,0.001083,0.001095,0.000708,0.000876,0.000596,0.000930,0.000994,0.001292,0.001253,0.109870,80
active_probe_planner,deformable_bin_pick,combined_hidden_mechanisms,long_horizon,0.587500,0.483855,0.222765,0.209425,0.088409,0.319806,0.080611,0.119310,0.170913,0.196535,0.179109,0.018168,0.108557,0.001896,0.001104,0.001201,0.000640,0.000886,0.000657,0.000875,0.000942,0.001193,0.001031,0.108419,80
active_probe_planner,deformable_bin_pick,combined_hidden_mechanisms,sparse_observation,0.425000,0.469539,0.223888,0.203825,0.088321,0.324795,0.084532,0.124829,0.172214,0.201020,0.181459,-0.151322,0.109011,0.002222,0.001176,0.001082,0.000696,0.000795,0.000660,0.000774,0.000812,0.000995,0.000986,0.109051,80
active_probe_planner,deformable_bin_pick,compliance_shift,combined_stress,0.587500,0.538815,0.196605,0.189964,0.083164,0.308025,0.077488,0.112900,0.159908,0.185002,0.167383,0.095155,0.108557,0.002056,0.001111,0.001136,0.000694,0.000866,0.000645,0.000892,0.000818,0.001101,0.001073,0.108602,80
active_probe_planner,deformable_bin_pick,compliance_shift,hidden_mechanism,0.587500,0.561032,0.172819,0.165306,0.072141,0.297488,0.065793,0.091391,0.140060,0.158021,0.146703,0.181879,0.108557,0.001807,0.000942,0.001211,0.000700,0.001004,0.000689,0.000704,0.000844,0.001099,0.001071,0.108330,80
active_probe_planner,deformable_bin_pick,compliance_shift,in_distribution,0.687500,0.574894,0.162404,0.150779,0.066320,0.293424,0.060819,0.081330,0.132201,0.147360,0.137342,0.324564,0.102212,0.002305,0.001054,0.001078,0.000611,0.000748,0.000642,0.000792,0.000837,0.000959,0.001116,0.102009,80
active_probe_planner,deformable_bin_pick,compliance_shift,long_horizon,0.637500,0.565544,0.178540,0.176385,0.075011,0.297061,0.066138,0.092714,0.146300,0.163903,0.152278,0.212178,0.106008,0.002170,0.000987,0.001107,0.000632,0.000918,0.000698,0.000933,0.000851,0.001168,0.001180,0.105970,80
active_probe_planner,deformable_bin_pick,compliance_shift,sparse_observation,0.700000,0.543529,0.184693,0.174846,0.077163,0.305629,0.074802,0.107127,0.149512,0.174615,0.156612,0.248287,0.101054,0.001922,0.000985,0.001001,0.000627,0.000964,0.000565,0.000720,0.000862,0.000984,0.001079,0.101124,80
active_probe_planner,deformable_bin_pick,contact_mode_flip,combined_stress,0.575000,0.509369,0.213378,0.203985,0.086687,0.315351,0.082100,0.120288,0.166641,0.194412,0.175821,0.032101,0.109011,0.002437,0.000981,0.001229,0.000681,0.000766,0.000650,0.000888,0.000849,0.000947,0.001170,0.108864,80
active_probe_planner,deformable_bin_pick,contact_mode_flip,hidden_mechanism,0.625000,0.537013,0.188872,0.176930,0.075793,0.306406,0.070164,0.099202,0.148535,0.168614,0.155286,0.171521,0.106757,0.002631,0.001195,0.001165,0.000629,0.000891,0.000704,0.000930,0.000844,0.001119,0.001199,0.107071,80
active_probe_planner,deformable_bin_pick,contact_mode_flip,in_distribution,0.700000,0.548762,0.179768,0.164575,0.070810,0.301060,0.064883,0.090062,0.140970,0.157801,0.146112,0.284886,0.101054,0.001935,0.001125,0.001124,0.000648,0.000859,0.000677,0.000990,0.000914,0.001180,0.001116,0.101186,80
active_probe_planner,deformable_bin_pick,contact_mode_flip,long_horizon,0.687500,0.537478,0.195669,0.189194,0.079407,0.304981,0.071054,0.100803,0.153351,0.172798,0.160258,0.211110,0.102212,0.002216,0.001132,0.001058,0.000607,0.000916,0.000700,0.000952,0.000893,0.001224,0.001075,0.102160,80
active_probe_planner,deformable_bin_pick,contact_mode_flip,sparse_observation,0.537500,0.513038,0.201775,0.189156,0.081495,0.313975,0.079412,0.114214,0.158854,0.185272,0.166636,0.031603,0.109948,0.002360,0.000919,0.001028,0.000637,0.000986,0.000661,0.000898,0.000808,0.001076,0.001000,0.110102,80
active_probe_planner,deformable_bin_pick,friction_shift,combined_stress,0.587500,0.548601,0.190574,0.185721,0.080768,0.304622,0.076157,0.109101,0.155731,0.181211,0.163621,0.115028,0.108557,0.002375,0.001161,0.001007,0.000677,0.000883,0.000548,0.000943,0.000953,0.001223,0.001228,0.108678,80
active_probe_planner,deformable_bin_pick,friction_shift,hidden_mechanism,0.725000,0.573257,0.165191,0.159535,0.068745,0.294858,0.064663,0.088367,0.135312,0.153424,0.140839,0.343662,0.098464,0.002166,0.001120,0.001022,0.000720,0.000815,0.000649,0.000982,0.000840,0.001003,0.000954,0.098197,80
active_probe_planner,deformable_bin_pick,friction_shift,in_distribution,0.637500,0.586768,0.153539,0.146826,0.064713,0.290061,0.060062,0.078213,0.128475,0.143089,0.133481,0.295953,0.106008,0.002117,0.001154,0.001183,0.000592,0.000878,0.000598,0.000846,0.000854,0.001091,0.001075,0.106051,80
active_probe_planner,deformable_bin_pick,friction_shift,long_horizon,0.662500,0.576517,0.171972,0.172224,0.072987,0.293352,0.065294,0.090676,0.141971,0.159622,0.147527,0.257069,0.104273,0.002379,0.001010,0.001018,0.000673,0.000947,0.000637,0.000832,0.000932,0.001087,0.001180,0.104201,80
active_probe_planner,deformable_bin_pick,friction_shift,sparse_observation,0.675000,0.554164,0.176364,0.170692,0.074678,0.301991,0.073832,0.103264,0.146138,0.171237,0.153720,0.244962,0.103285,0.002452,0.001055,0.000973,0.000594,0.000886,0.000708,0.000888,0.000818,0.001089,0.001087,0.103468,80
active_probe_planner,deformable_bin_pick,nominal,combined_stress,0.712500,0.590146,0.172125,0.170933,0.075194,0.295925,0.072067,0.101063,0.144844,0.168852,0.152645,0.301906,0.099805,0.002047,0.001081,0.000975,0.000717,0.001063,0.000718,0.000822,0.000937,0.001205,0.001137,0.099809,80
active_probe_planner,deformable_bin_pick,nominal,hidden_mechanism,0.575000,0.610987,0.147012,0.144950,0.063422,0.285745,0.060068,0.080203,0.125357,0.142231,0.131006,0.253402,0.109011,0.002159,0.000998,0.000941,0.000579,0.000982,0.000694,0.000783,0.000951,0.001250,0.001191,0.109042,80
active_probe_planner,deformable_bin_pick,nominal,in_distribution,0.687500,0.625103,0.135349,0.133421,0.058947,0.281390,0.054676,0.070063,0.116758,0.130253,0.121156,0.406872,0.102212,0.002195,0.001042,0.001232,0.000761,0.000846,0.000720,0.000811,0.000948,0.001111,0.001163,0.102707,80
active_probe_planner,deformable_bin_pick,nominal,long_horizon,0.712500,0.615927,0.153828,0.158901,0.066780,0.285352,0.061734,0.082462,0.130169,0.146954,0.135606,0.367588,0.099805,0.002508,0.001105,0.001180,0.000695,0.000778,0.000574,0.000925,0.000878,0.001064,0.001088,0.099946,80
active_probe_planner,deformable_bin_pick,nominal,sparse_observation,0.625000,0.591041,0.158841,0.155960,0.068927,0.294364,0.069248,0.095462,0.135524,0.157859,0.142079,0.254266,0.106757,0.002049,0.001049,0.001029,0.000645,0.000851,0.000590,0.000811,0.000775,0.000986,0.000987,0.107194,80
active_probe_planner,deformable_bin_pick,occlusion_persistence,combined_stress,0.675000,0.522128,0.204347,0.197485,0.084430,0.312768,0.080727,0.119388,0.163938,0.191284,0.172262,0.155614,0.103285,0.001857,0.001010,0.001193,0.000696,0.000947,0.000650,0.000975,0.000813,0.000987,0.000990,0.103293,80
active_probe_planner,deformable_bin_pick,occlusion_persistence,hidden_mechanism,0.687500,0.527523,0.183874,0.174019,0.074185,0.309232,0.076263,0.108827,0.147445,0.173099,0.155545,0.233983,0.102212,0.002138,0.001190,0.001030,0.000722,0.000910,0.000678,0.000861,0.000782,0.001048,0.001039,0.102420,80
active_probe_planner,deformable_bin_pick,occlusion_persistence,in_distribution,0.612500,0.543055,0.173147,0.161494,0.069389,0.304407,0.070697,0.098293,0.138382,0.159859,0.145493,0.201298,0.107431,0.002323,0.001160,0.001120,0.000697,0.000756,0.000637,0.000838,0.000766,0.000921,0.000977,0.107457,80
active_probe_planner,deformable_bin_pick,occlusion_persistence,long_horizon,0.650000,0.533333,0.189911,0.188032,0.077957,0.308570,0.076902,0.110171,0.153176,0.178292,0.160818,0.173931,0.105180,0.002221,0.001179,0.001157,0.000558,0.000833,0.000617,0.000801,0.000775,0.001051,0.001027,0.105176,80
active_probe_planner,deformable_bin_pick,occlusion_persistence,sparse_observation,0.537500,0.521744,0.192712,0.182465,0.078223,0.311879,0.078771,0.114634,0.153389,0.179730,0.162207,0.055946,0.109948,0.002391,0.001062,0.001102,0.000647,0.000889,0.000609,0.001015,0.000967,0.001327,0.001186,0.110011,80
active_probe_planner,deformable_bin_pick,payload_shift,combined_stress,0.537500,0.514569,0.206762,0.198446,0.085499,0.313931,0.080092,0.116814,0.165055,0.191456,0.173851,0.011244,0.109948,0.002231,0.000910,0.001201,0.000616,0.001057,0.000693,0.000802,0.000985,0.001155,0.001316,0.110106,80
active_probe_planner,deformable_bin_pick,payload_shift,hidden_mechanism,0.712500,0.538291,0.186652,0.173403,0.076834,0.303718,0.068400,0.096452,0.149456,0.168436,0.155711,0.264877,0.099805,0.002148,0.001121,0.000969,0.000654,0.000894,0.000595,0.000906,0.000861,0.001048,0.001214,0.100169,80
active_probe_planner,deformable_bin_pick,payload_shift,in_distribution,0.762500,0.553367,0.174460,0.159561,0.071935,0.298626,0.063284,0.087286,0.140826,0.155975,0.146498,0.358806,0.093841,0.001866,0.000984,0.001063,0.000609,0.000907,0.000682,0.000984,0.000898,0.001151,0.001201,0.093890,80
active_probe_planner,deformable_bin_pick,payload_shift,long_horizon,0.637500,0.542767,0.192106,0.186033,0.080516,0.302362,0.070019,0.098728,0.155054,0.173431,0.162279,0.168156,0.106008,0.002415,0.001291,0.001033,0.000711,0.000963,0.000744,0.000866,0.000822,0.001008,0.001176,0.105957,80
active_probe_planner,deformable_bin_pick,payload_shift,sparse_observation,0.712500,0.517564,0.196710,0.183369,0.082368,0.310406,0.077604,0.112144,0.158919,0.184525,0.167354,0.218820,0.099805,0.002445,0.001193,0.001073,0.000694,0.000863,0.000679,0.000982,0.000981,0.001216,0.001116,0.099488,80
active_probe_planner,drawer_contact_repair,actuator_lag,combined_stress,0.600000,0.530745,0.198705,0.191768,0.084205,0.308521,0.078848,0.113419,0.161395,0.187601,0.169300,0.098539,0.108031,0.001916,0.001097,0.001207,0.000616,0.000889,0.000634,0.000900,0.000914,0.001137,0.001078,0.108104,80
active_probe_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,0.675000,0.554650,0.177597,0.165172,0.074590,0.299657,0.067052,0.092974,0.144599,0.163804,0.150786,0.255795,0.103285,0.002006,0.001059,0.000965,0.000669,0.001031,0.000601,0.000882,0.000930,0.001114,0.001113,0.103081,80
active_probe_planner,drawer_contact_repair,actuator_lag,in_distribution,0.650000,0.566992,0.165664,0.153467,0.069215,0.293515,0.061978,0.083784,0.136137,0.151830,0.142168,0.272579,0.105180,0.002110,0.000979,0.001100,0.000655,0.000725,0.000683,0.000899,0.000966,0.001090,0.001217,0.104949,80
active_probe_planner,drawer_contact_repair,actuator_lag,long_horizon,0.775000,0.559210,0.183075,0.178359,0.077501,0.298961,0.068006,0.094667,0.149796,0.168630,0.156139,0.334991,0.092084,0.002212,0.001099,0.001063,0.000528,0.001056,0.000603,0.000844,0.000870,0.000990,0.001176,0.091970,80
active_probe_planner,drawer_contact_repair,actuator_lag,sparse_observation,0.712500,0.531370,0.189772,0.175983,0.080016,0.306744,0.076330,0.108890,0.154894,0.180201,0.162487,0.243140,0.099805,0.002446,0.001189,0.001114,0.000705,0.000854,0.000747,0.000906,0.000926,0.001118,0.001168,0.099724,80
active_probe_planner,drawer_contact_repair,combined_hidden_mechanisms,combined_stress,0.537500,0.474436,0.224189,0.213997,0.089045,0.322891,0.084890,0.125857,0.173596,0.201971,0.182958,-0.046842,0.109948,0.002335,0.001054,0.001116,0.000664,0.000867,0.000592,0.000789,0.000900,0.001016,0.001067,0.109985,80
